Abbr, Canton,Population (1000), Population Density, GDP per capita
ZH,Zürich,1488, 701, 96411
BE,Bern,1026, 158, 76307
LU,Luzern,403, 233, 65119
UR,Uri,36, 33, 51332
SZ,Schwyz,156, 143, 58788
OW,Obwalden,37,66, 64253
NW,Nidwalden,42,138, 69559
GL,Glarus,40,51, 67379
ZG,Zug,124,416, 150613
FR,Fribourg,312,141, 58369
SO,Solothurn,269,308, 65588
BS,Basel-Stadt,198,5072, 163632
BL,Basel-Landschaft,287,502, 68537
SH,Schaffhausen,81,246, 85529
AR,Appenzell Ausserrhoden,55,220, 56663
AI,Appenzall Innerhoden,16,87, 61067
SG,St. Gallen,502,222, 72624
GR,Graubünden,197,26, 70968
AG,Aargau,663,388, 61959
TG,Thurgau,271,229, 60533
TI,Ticino,354,110, 82438
VD,Vaud,784,188, 68084
VS,Valais,339,53, 52535
NE,Neuchâtel,178,206, 83835
GE,Genève,489,1442, 102113
JU,Jura,73,82, 64606